,tag,tag_count
0,'ADVSEED',340
1,'INACTIVESTUD',274
2,'ET',264
3,'PPC.ADVCK',255
4,'WHCONV',224
5,'WCUNLINK',211
6,'ADV12292015',172
7,'ADVCK082619',167
8,'LFLUNCH',142
9,'NMC18NONSTHNONDEMAIL',135
10,'NONSTMNOND17',133
11,'STADIUMSURVEY',126
12,'ADVADD091519',110
13,'2020GGAData',101
14,'LINKED',98
15,'STUDBT18',93
16,'CONV.ADDR',90
17,'ADVTAG',86
18,'2020GGANamePull',84
19,'F18IndSale',77
20,'ADVADD112019',76
21,'ADVDON',75
22,'UNLINKED',75
23,'STUDBT19',73
24,'STUD',73
25,'STUDBT16',72
26,'STUDENTFALL2019',65
27,'ADVCK091119',58
28,'ADVCK090919',58
29,'STUDBT17',57
30,'STUDENT',53
31,'STUDBT15',52
32,'U031521PS',48
33,'STUDENTSPRING2020',47
34,'U011520ps',47
35,'FB15YA',47
36,'U081420',46
37,'U060920',46
38,'U090120',46
39,'STUDENT2020',45
40,'2020GGANamePull2',45
41,'YAFB19',45
42,'U031721',44
43,'U031521',43
44,'MIDNAME',43
45,'YAFB17',42
46,'U011520',41
47,'Match101707',41
48,'FB18YA',40
49,'U032421',40
50,'U072820',37
51,'Match070907',33
52,'ELS_Failure_030520',33
53,'YAFB16',33
54,'ADVCK103119',33
55,'OLDDONRTAG',32
56,'U071620',32
57,'LTZNUM2',30
58,'POITEST',30
59,'S04',30
60,'ADVADD0930192',28
61,'U63020',27
62,'BAF20Prospect',25
63,'LASP12',25
64,'AP06',25
65,'SEASONTICKETS',24
66,'WCLINK',23
67,'ADVCK092619',23
68,'ADV01122016',22
69,'LASP10',20
70,'FB15STUDSEA',20
71,'NEWSTUD15',20
72,'ADVCK',20
73,'2018EmailOnly',20
74,'FB12STUDSEA',19
75,'19MEM',19
76,'FB09STUDSEA',19
77,'LASP.06-S',19
78,'19STHLP',18
79,'LASP11',18
80,'LASP.06',18
81,'LASP13',18
82,'FB03SEA',17
83,'2020GGANamePull4',17
84,'U081020',17
85,'BT17',17
86,'FB17STUDSEA',17
87,'S08-PACMAIL',17
88,'FBSTH',17
89,'ADVADD052019',17
90,'FB18SEA',17
91,'AP07',17
92,'2018TaxReceiptNormal',16
93,'FB16STUDSEA',16
94,'BT16',16
95,'BAMAEMAIL17',16
96,'18MEM',16
97,'FB10STUDSEA',15
98,'TY19',15
99,'FB11STUDSEA',15
100,'FB19CUT',15
101,'SANTONIO',14
102,'TY20',14
103,'Match043007',14
104,'2019NormalTaxReceipt',14
105,'FB14STUDSEA',14
106,'RENEW19LF',14
107,'FB19POSTAPPS',14
108,'FB13DONOR',13
109,'DY18-110SOLICIT',13
110,'NoResponse110%',13
111,'WL-09',13
112,'LASP.12',13
113,'FB17MINIDONOR',13
114,'DONORFB15',13
115,'DONOR16',13
116,'LFPK80',13
117,'ACTIVEBT',13
118,'FB16ADDRVERIF',13
119,'FB16-FBS',13
120,'FB15SEA',13
121,'ADV.PPC060519',12
122,'BAF20-PrintRenewal',12
123,'2011DONORS',12
124,'FB14DONOR',12
125,'DONR',12
126,'HOUSTON',12
127,'FB09SEA',12
128,'FB10SEA',12
129,'LPBT2019',12
130,'I.TRANS',12
131,'20MEM',12
132,'FB13SEA',12
133,'FB14SEA',12
134,'FB15WEBAPP10',12
135,'FB15',12
136,'AWAYFB17DON',12
137,'FB16EMAIL',12
138,'FB17WEBAPP10P',12
139,'FB12SEA',12
140,'FB13STUDSEA',12
141,'LASP.10',11
142,'RSD18',11
143,'FB02SEA',11
144,'PSI-JUNE04',11
145,'FB18STUDSEA',11
146,'FB19STUDSEA',11
147,'AWAYFB15',11
148,'FB18NA',11
149,'FB14APP10',11
150,'FB11SEA',11
151,'ScheduleReleaseEmail20210128',10
152,'DY19NMN',10
153,'ER20',10
154,'2018SeatNoANF',10
155,'19-20STH',10
156,'TYFB20',10
157,'USCDAY3MAX4',10
158,'NG201805',10
159,'FB07STUDSEA',10
160,'FB06SEA',9
161,'FB04SEA',9
162,'2021JanuaryInvoice',9
163,'VarO',9
164,'WL03',9
165,'DALLAS',9
166,'COINS',9
167,'FB08SEA',9
168,'FB5K',9
169,'LASP.11',9
170,'FB07SEA',8
171,'FB05SEA',8
172,'NewVarO',8
173,'MB15GPEMAIL',8
174,'FBTYEE',8
175,'DY19YEARENDPOSTCARD',8
176,'F20STH',8
177,'FB19FRESHMEN',8
178,'FB14EMAIL2',8
179,'FB14PAPERAPP1',8
180,'XSTU',8
181,'PCRANK',7
182,'PCRank1718_10-19-18',7
183,'F16REN',7
184,'F11NRLINK',7
185,'NG201905',7
186,'LWMINI',7
187,'FB16_REFER_072116',7
188,'F20/OPTOUT',7
189,'2020INVOICE',7
190,'SHIPADDRESS',7
191,'2020INV',7
192,'FA1M',7
193,'FB14EMAIL3',7
194,'LASP.13',7
195,'POI',6
196,'PC2011',6
197,'2019/11/26Email',6
198,'FB15_DONATE_LINKED_070115',6
199,'LW-TMAN',6
200,'TMAN',6
201,'NEWGRAD16',6
202,'FB17_STHFREE_072117',6
203,'FB17_RENEW_LINKED_012017',6
204,'FB14_TRANSFER',6
205,'BDFFBRENEW',6
206,'DC17',6
207,'2019NTR1',6
208,'FBONLY',6
209,'FB06STUDSEA',6
210,'FB05STUDSEA',6
211,'FB04STUDSEA',6
212,'WC_ATTR',6
213,'CU',6
214,'FB08STUDSEA',6
215,'200214InvoiceFile',5
216,'F16UNLINKEDBAL',5
217,'OPTGIFT2020',5
218,'NG082019',5
219,'FB16-NDOFFER',5
220,'FB16_PRE_LINKED_072516',5
221,'FB16_AWAY_LINKED_050416',5
222,'NG201812',5
223,'2018NonRenewed',5
224,'NMC18LAPSEDDEMAIL',5
225,'FB14POUTT',5
226,'CONV-IMPORT',5
227,'FTWORTH',5
228,'BB93SEA',4
229,'BB92SEA',4
230,'BB15GTEMAIL',4
231,'LSUEMAIL',4
232,'05SFTIX',4
233,'MB11SEA',4
234,'MB03SEA',4
235,'MB12SEA',4
236,'LASP.08-S',4
237,'ADV.NR092418',4
238,'F20-TX-2',4
239,'U061720',4
240,'FB18PSTUD',4
241,'FB16_ST_ONSALE_020316',4
242,'F20-TX-4',4
243,'20210206FlashSaleExclusion',4
244,'FB12LINKEDAWAY_06_20',4
245,'FB13_TRANS_LINKED_082813',4
246,'FB11_CAL_LINK',4
247,'FB13_TRANS_LINKED',4
248,'FB12LINKEDAPP_04_16',4
249,'MWF13_LINKED',4
250,'FB14_TRANS_LINKED_051314',4
251,'DONTCALL',4
252,'FB10LINKED',4
253,'MWF13_LINKED_REMIND',4
254,'FB14_BDFPR_LINKED',4
255,'FB13_PRESALE_LINKED',4
256,'FB15_AWAY_LINKED_060215',4
257,'FB18YAGRADS',4
258,'B09CHANGE',4
259,'21MEM',4
260,'NDQ4DAY6',4
261,'FB14EMAIL5',4
262,'FB14EMAIL4',4
263,'NDQ4DAY5',4
264,'LPBT2020',4
265,'FB15OK',4
266,'BAF20TagPacketSent-Tomahawk',3
267,'BB89SEA',3
268,'BB90SEA',3
269,'BB91SEA',3
270,'BB09SEA',3
271,'2004FBSF',3
272,'MB06SEA',3
273,'MB07SEA',3
274,'MB08SEA',3
275,'MB05SEA',3
276,'MB09SEA',3
277,'MB10SEA',3
278,'MB04SEA',3
279,'05DONOR',3
280,'2005PLEDGE',3
281,'SB16NP',3
282,'Camp2019Volleyball',3
283,'FB17_ONSALE_LINKED_111416',3
284,'FB15_STUDENTS_042015',3
285,'SRF15',3
286,'Camp2017basketball',3
287,'ER21',3
288,'KCLUB.7.19',3
289,'KCLUB.10.8',3
290,'12.5.WEF',3
291,'FB14_PS_071514_LINKED',3
292,'F10LINKEDBDF_08_17',3
293,'FB12LINKEDAPP_05_08',3
294,'FEB20PACKET',3
295,'Camp2013basketball',3
296,'FB18PDONLW',3
297,'BAF21-JGT',3
298,'OMADAWG18',3
299,'MB13SEA',3
300,'MB19SEA',3
301,'K20718',3
302,'USCDAY2MAX4',3
303,'MB01SCAN',3
304,'LASP.11-S',3
305,'LMC18DY19',3
306,'GTW',3
307,'MBBSTH',3
308,'LMC17DEC18',3
309,'GivingTue17',3
310,'LAPSEDD16',3
311,'BAF21-EC',3
312,'LW-WTMN',3
313,'WTMN',3
314,'ADV052419',3
315,'Camp2018Soccer',3
316,'COINREDEEM',3
317,'2019NTR5',3
318,'BAF21-KS',2
319,'BB03SEA',2
320,'BB99SEA',2
321,'BB02SEA',2
322,'BB11SEA',2
323,'BB07SEA',2
324,'BB05SEA',2
325,'BB08SEA',2
326,'BB04SEA',2
327,'BB10SEA',2
328,'BB12SEA',2
329,'BB06SEA',2
330,'BB13SEA',2
331,'FB14APP15',2
332,'FB14PAPERAPP1A',2
333,'BAF20TagPacketSent-Warrior',2
334,'Camp2015volleyball',2
335,'FB17_ONSALE_UNLINKED_111416',2
336,'VB16_SEA_UNLINKED_080116',2
337,'FB12-LAST-LINKED',2
338,'FB12-LINKED',2
339,'FB16_STUDENT_ONSALE_020316',2
340,'FB16_SINGLE_LINKED_080116',2
341,'FB16_MP_LINKED_060116',2
342,'FB15_DONATE_LINKED_063015',2
343,'IOWALAW15',2
344,'WHCONV1',2
345,'2019NTR4',2
346,'FB10CHUK',2
347,'MWF13_LINKED_EXTEND',2
348,'SCCU',2
349,'FEB19PACKET',2
350,'LW-MBB',2
351,'STMNOND17',2
352,'2019NTR2',2
353,'BB19SEA',2
354,'MB15SEA',2
355,'VB05SEA',2
356,'VB08SEA',2
357,'MB17STPK80',2
358,'MB02SCAN',2
359,'VB07SEA',2
360,'VB10SEA',2
361,'MBB12',2
362,'MB17SEA',2
363,'MB14',2
364,'MBSAPP11',2
365,'MB14SEA',2
366,'VB06SEA',2
367,'MB18SEA',2
368,'MB15STH',2
369,'VB04SEA',2
370,'MBNOCTSTE',2
371,'MB16SEA',2
372,'MB15',2
373,'NDQ4DAY3',2
374,'VB09SEA',2
375,'VB03SEA',2
376,'MBTT',2
377,'FB14EMAIL6',2
378,'NDQ4DAY4',2
379,'VB16_SEA_LINKED_080116',2
380,'BAF21TagPacket_20210226',2
381,'ADVADD100219',2
382,'2020GGANamePullX',2
383,'LDC14-17No18',2
384,'SBCHANGE',2
385,'MBKNMC17',2
386,'20MBKALLOPTOUT',2
387,'ADVADD011619',2
388,'CORPUS',2
389,'NMC18LAPSEDDPOSTAL',2
390,'CAFLS',2
391,'TYCALL2012',2
392,'MFBL',2
393,'LW-MFB',2
394,'BAF19-FallPaymentPlan',2
395,'FB12-LAST-UNLINKED',2
396,'FB12-UNLINKED',2
397,'MATP',2
398,'FB17_RENEW_LINKED_030617',2
399,'FB17_RENEW_LINKED_031317',2
400,'FB17_RENEW_LINKED_111516',2
401,'FB17_RENEW_LINKED_031017',2
402,'FB17_RENEW_LINKED_022817',2
403,'LW-WTN',2
404,'WB98SEA',2
405,'WB00SEA',2
406,'WB96SEA',2
407,'WB99SEA',2
408,'WB95SEA',2
409,'WB01SEA',2
410,'WB97SEA',2
411,'SEP19PACKET',2
412,'MAR19PACKET',2
413,'PALMETTOHEALTH',2
414,'5K19',2
415,'MB02SEA',2
416,'ORG',2
417,'TD2500',2
418,'FB14_PS_071414_UNLINKED',2
419,'FB10UNLINKED',2
420,'FB17_RENEW_UNLINKED_012017',2
421,'FB14_BDFPR_UNLINKED',2
422,'FB16_AWAY_UNLINKED_050416',2
423,'FB11_CAL_UNLINK',2
424,'FB16_PRE_UNLINKED_072516',2
425,'13AB',2
426,'FB10LINKED2',2
427,'F10LINKEDRENEWAL04_26_10',2
428,'FB12LINKEDAPP_05_23',2
429,'F10LINKEDRENEWAL05_06',2
430,'20NOMSHIP',2
431,'2018TaxReceiptRemainder',2
432,'Camp2015basketball',2
433,'BK11-GTW',2
434,'NEWAcctNum_0707',2
435,'LASP.09-S',1
436,'70229',1
437,'ScheduleReleaseEmail20212558',1
438,'951092425',1
439,'945991853',1
440,'955447592',1
441,'IOWALAW16',1
442,'Camp2017volleyball',1
443,'940543713',1
444,'449925',1
445,'WTR1976',1
446,'WTR1977',1
447,'F11NRUNLINK',1
448,'48192',1
449,'951941440',1
450,'343554',1
451,'ScheduleReleaseEmail20211500',1
452,'GTW11-TOTS',1
453,'348501',1
454,'ADVADD112519',1
455,'343329',1
456,'951750701',1
457,'951245875',1
458,'52335',1
459,'942112781',1
460,'Camp2018Wrestling',1
461,'926928732',1
462,'BBCS-EC',1
463,'FB16_MP_UNLINKED_060116',1
464,'FB16_SINGLE_UNLINKED_080116',1
465,'Camp2019Soccer',1
466,'Camp2018volleyball',1
467,'BENDUP2',1
468,'35958',1
469,'305537',1
470,'LW-MTK',1
471,'ScheduleReleaseEmail20211271',1
472,'951433444',1
473,'946215468',1
474,'DUKEENERGY',1
475,'81142',1
476,'Camp2016hockey',1
477,'Camp2015football',1
478,'Camp2016fieldhockey',1
479,'9409',1
480,'MGRL',1
481,'LW-MGR',1
482,'11715',1
483,'ScheduleReleaseEmail20210704',1
484,'BB18SEA',1
485,'BB14SEA',1
486,'BB16',1
487,'BB18PCWS2',1
488,'BB16SEA',1
489,'BBCWS2',1
490,'BB15EMAIL',1
491,'BB17STH.TX1',1
492,'BB15',1
493,'BB19REGAPP',1
494,'BB15SEA',1
495,'BB16DON',1
496,'BB18STH.TX1',1
497,'BB15RR',1
498,'BB15ALLOEMAIL',1
499,'FB18STUDLF',1
500,'23965-1962',1
501,'CLASSOF1962',1
502,'947760470',1
503,'951776356',1
504,'929426821',1
505,'MFB1961',1
506,'MFB1962',1
507,'MFB1960',1
508,'22187',1
509,'5.27.20-WC',1
510,'BB20DROP1211',1
511,'946077295',1
512,'BAF20TagPacketSent-IronArrow',1
513,'NG201712',1
514,'Camp2013soccer',1
515,'953136802',1
516,'949922954',1
517,'950831678',1
518,'VB20SEA',1
519,'VB15WEBAPP',1
520,'VB17SEA',1
521,'VB15SEA',1
522,'VB15',1
523,'VB15PTT',1
524,'VB12PTT',1
525,'VB18SEA',1
526,'FB16TERRACE5K',1
527,'VB11SEA',1
528,'VB16STH',1
529,'BKFB5',1
530,'VB19SEA',1
531,'BALLENA',1
532,'VB12SEA',1
533,'VB16SEA',1
534,'VB13SEA',1
535,'VB14SEA',1
536,'934395245',1
537,'F10-FAMDAY',1
538,'947696507',1
539,'NOMB15SEA',1
540,'BKFBND',1
541,'FB14APP12',1
542,'940390430',1
543,'08PB.UPDATE1',1
544,'940589007',1
545,'943342250',1
546,'STDNTSNGLE',1
547,'BS13ND',1
548,'FB16_STUDENT_062216',1
549,'FB16_STUDENT_063016',1
550,'2020MHEmail',1
551,'BAF21-JW',1
552,'ScheduleReleaseEmail20212931',1
553,'Camp2018Football',1
554,'Camp2019FieldHockey',1
555,'MBA1990',1
556,'MBA1988',1
557,'612373',1
558,'MICHELIN',1
559,'946868835',1
560,'Camp2016basketball',1
561,'949612157',1
562,'952470450',1
563,'285816',1
564,'35230',1
565,'GTW-Steger',1
566,'F15-CPT-STM-UNLINKED',1
567,'952288786',1
568,'949102263',1
569,'410840',1
570,'FINALFIX',1
571,'F08-GTW',1
572,'945487489',1
573,'953185009',1
574,'958442510',1
575,'8084',1
576,'WBB2007',1
577,'WBB2005',1
578,'WBB2006',1
579,'WBB2004',1
580,'298522',1
581,'91347',1
582,'390207',1
583,'MTR1991',1
584,'MTR1989',1
585,'MTR1988',1
586,'MTR1990',1
587,'CCDUES18UP',1
588,'953577487',1
589,'FarmBureauInsuance',1
590,'ADVADD120519',1
591,'CLASSOF1997',1
592,'946522731',1
593,'1300',1
594,'699076',1
595,'F14-KICK-3',1
596,'LW-TRN',1
597,'TRNL',1
598,'417237',1
599,'WBSTH',1
600,'948648280',1
601,'71955',1
602,'BAF20RolloverEmail',1
603,'BAF20TagPacketSent-Renegade',1
604,'8240',1
605,'924744133',1
606,'957136189',1
607,'250380',1
608,'2CMP',1
609,'481815',1
610,'WEND',1
611,'VF1K',1
612,'6CMP',1
613,'TigerWalkFootballAlumni',1
614,'TYLERLGVW',1
615,'WMGR',1
616,'TNEMAIL',1
617,'TNEMAILNOD',1
618,'18FBSPRINGPRACT',1
619,'946131941',1
620,'WPSST',1
621,'WC2PAT',1
622,'JUN20PACKET',1
623,'955823625',1
624,'948371682',1
625,'MI15',1
626,'CAPBAL',1
627,'950437524',1
628,'Camp2019Football',1
629,'950364124',1
630,'80019',1
631,'595084',1
632,'Camp2019Golf',1
633,'16894',1
634,'948679462',1
635,'943456287',1
636,'953928207',1
637,'951265401',1
638,'33824',1
639,'NEWSTUD17',1
640,'950393462',1
641,'F20-TR',1
642,'947581536',1
643,'FB13_TRANS_UNLINKED_082813',1
644,'BDFRED_UNLINKED_091415',1
645,'FB14_TRANS_UNLINKED_051314',1
646,'FB15_DONATE_UNLINKED_063015',1
647,'FB12UNLINKEDAWAY_06_20',1
648,'FB13_TRANS_UNLINKED',1
649,'MWF13_UNLINKED_EXTEND',1
650,'FB15_AWAY_UNLINKED_060215',1
651,'FB12UNLINKEDAPP_05_03',1
652,'FB13_PRESALE_UNLINKED',1
653,'MWF13_UNLINKED_REMIND',1
654,'MWF13_UNLINKED',1
655,'FB12UNLINKEDAPP_04_16',1
656,'LW-WRW',1
657,'NOSEND',1
658,'TRANSFER',1
659,'F15-LT-R-UNLINKED',1
660,'1628279',1
661,'WB07SEA',1
662,'WB04SEA',1
663,'NDQ4DAY2',1
664,'WB08SEA',1
665,'WB05SEA',1
666,'ALLAWAYFB15',1
667,'ALLAWAY2FB15',1
668,'WB03SEA',1
669,'WB06SEA',1
670,'ScheduleReleaseEmail20213177',1
671,'BAF21-TC',1
672,'1stRenew2019',1
673,'151314',1
674,'PDDUPE',1
675,'944008779',1
676,'944821416',1
677,'931796672',1
678,'LMC18DY18',1
679,'943296819',1
680,'270586',1
681,'17814',1
682,'2019NTR3',1
683,'949919233',1
684,'952589147',1
685,'943927625',1
686,'70206',1
687,'ScheduleReleaseEmail20212064',1
688,'951143520',1
689,'BDFRED_LINKED_091415',1
690,'FB14_PS_071414_LINKED',1
691,'2011RED',1
692,'FB12LINKEDAPP_06_05',1
693,'FB12_PUBLIC_111912',1
694,'952248386',1
695,'F16LINKEDBAL',1
696,'K2072219',1
697,'AMARILLO',1
698,'105527',1
699,'957331822',1
700,'VB11PTT',1
701,'Camp2017soccer',1
702,'WGY2011',1
703,'WGY2013',1
704,'WGY2010',1
705,'WGY2012',1
706,'ORGM',1
707,'HE',1
708,'P18',1
709,'BI-LO',1
710,'953552161',1
711,'940345443',1
712,'WISL',1
713,'WSA1617',1
714,'WSA1415',1
715,'YLFB19',1
716,'WSA1516',1
717,'YLFB18',1
718,'93079',1
719,'WBKNMC18',1
720,'FB06-POST',1
721,'Camp2016soccer',1
722,'DQBDC',1
723,'SGUNLINKED',1
724,'953929335',1
725,'950841642',1
726,'2052',1
727,'2020ACKBAF2.5',1
728,'BAF20TagPacketSent-SilverChief',1
729,'ScheduleReleaseEmail20213478',1
730,'946203337',1
731,'53965',1
732,'FB14CHAIR',1
733,'APR19PACKET',1
734,'LACF',1
735,'LASP.10-S',1
736,'271411',1
737,'ADVADD052219',1
738,'45764',1
739,'941520474',1
740,'BDCSCHEDPMT',1
741,'F20-TX-6',1
742,'LW-MSW',1
743,'MSWL',1
744,'SA2021',1
745,'SA1920',1
746,'MSA1819',1
747,'NCHAIR',1
748,'FB16TERRACE',1
749,'BB14PDONOR',1
750,'TB',1
751,'UCLAPRINTTT',1
752,'944007399',1
753,'947797647',1
754,'417202',1
755,'OTH',1
756,'NMC18NONSTHNONDPOSTAL',1
757,'81071',1
758,'Camp2015gymnastics',1
759,'911528347',1
760,'953305322',1
761,'MB20STH',1
762,'JUL19PACKET',1
763,'FB17_RENEW_LINKED_040617',1
764,'FB17_RENEW_LINKED_032917',1
765,'FB17_RENEW_LINKED_032017',1
766,'305857',1
767,'77658',1
768,'951885293',1
769,'BAF20TagPacketSent-W20200917',1
770,'MATCH101707',1
771,'2020ACKBAF11.06.20',1
772,'ScheduleReleaseEmail20212909',1
773,'2020ACKBAF10.13.20',1
774,'2020ACKBAF9.10.20',1
775,'34204',1
776,'LDC2018',1
777,'946012994',1
778,'LW-MMB',1
779,'BVU',1
780,'Camp2018Hockey',1
781,'923188983',1
782,'910727585',1
783,'943376474',1
784,'51857',1
785,'952461657',1
786,'956839608',1
787,'942588790',1
788,'WBBSTHPROSPECT',1
789,'2019WBBHOLIDAYCARD',1
790,'200276',1
791,'2015TF',1
792,'175725',1
793,'946199715',1
794,'CLEMSONUNIVERSITYAPPLICANTS',1
795,'942758857',1
796,'944081657',1
797,'933913657',1
798,'945187776',1
799,'MBSTH',1
800,'MBTYEE',1
801,'MGO1979',1
802,'MGO1980',1
803,'BC',1
804,'LW',1
805,'943232175',1
806,'BAF21-MD',1
807,'BAF21-HT',1
808,'2020FullSTHRollover',1
809,'ScheduleReleaseEmail20213838',1
810,'2020ACKCCMTCRM',1
811,'BAF20TagPacketSent-June16GC',1
812,'FB14_PS_071415_UNLINKED',1
813,'FB14_PS_071514_UNLINKED',1
814,'23069',1
815,'FW2007',1
816,'FB18NALW',1
817,'DONLWND2',1
818,'MAILOU5TT',1
819,'FBNON',1
